pp_id,condition,ts(sec),frame,success,confidence,AU1_InnerBrowRaiser,AU2_OuterBrowRaiser,AU4_BrowLowerer,AU5_UpperLipRaiser,AU6_CheekRaiser,AU7_LidTightener,AU9_NoseWringler,AU10_UpperLipRaiser,AU12_LipCornerPuller,AU14_Dimpler,AU15_LipCornerDepressonr,AU17_ChinRaiser,AU20_LipStretcher,AU23_LipTightener,AU25_LipsPart,AU26_JawDrop,AU45_BlinkInt,AUc45_BlinkRate,AUc28_LipSuck,headOrient_x,headOrient_y,headOrient_z,gazeCenter,gazeUp,gazeDown,gazeRight,gazeLeft,index,ts,duration,Rclick,Lclick,move_dist,move_duration,move_speed,scroll_dur,keyPress,press_dur,backsp,backsp_dur,pause_dur,pause_rate
pp06,N,60.117,1800.0,1.0,0.9745833333333336,0.1272555555555555,0.0023444444444444,0.5189944444444444,0.0041444444444444,0.0582333333333333,0.15815,0.2335,0.02305,0.2003444444444444,0.6095555555555554,0.71035,1.19005,0.5507666666666666,0.0081888888888888,1.0624944444444444,0.5076166666666666,0.1561833333333333,0.1927777777777777,0.0,78.62788888888889,3.071111111111112,583.1555,0.0,0.0,0.3230383333333333,0.1300022222222222,0.0008416666666666,10,2023-04-13 08:23:00,0.4178160909090909,1.0,10.0,8.27897233954571,0.02500536051252182,1028.229895061582,0.8539323333333328,36.0,0.3821335833333335,36.0,0.02777777777777778,0.857757051785787,1.429595086309645
pp06,N,120.267,3600.0,1.0,0.9788055555555556,0.1846388888888889,0.0071111111111111,0.5273611111111111,0.0059777777777777,0.00575,0.0905499999999999,0.2216611111111111,0.0486055555555555,0.09205,0.40485,0.9892333333333332,1.3348055555555556,0.5202944444444445,0.1093388888888888,0.5044777777777778,0.6009833333333333,0.15905,0.4733333333333333,0.0,63.675888888888885,-1.7494444444444444,587.5673333333333,0.0177777777777777,0.0,0.275385,0.1227266666666666,2.5e-05,11,2023-04-13 08:24:00,0.1896393333333334,0.0,6.0,7.512984715565505,0.03005402015677496,917.1231875696232,0.2765036406250001,27.0,0.2734551851851847,27.0,0.03703703703703703,2.535380451767533,4.225634086279222
pp06,N,180.418,5400.0,1.0,0.9761944444444448,0.1260888888888889,0.2043666666666666,0.3601166666666667,0.1002555555555555,0.0131333333333333,0.0219388888888888,0.0089611111111111,0.0004444444444444,0.0019333333333333,0.4690499999999999,0.2856944444444444,0.3515888888888889,0.0221888888888888,0.2972722222222222,0.1331944444444444,1.1145833333333333,0.3649055555555556,0.3927777777777778,0.0,62.21111111111111,3.611388888888889,572.8420555555555,0.0,0.0,0.3539488888888888,0.0795116666666666,0.0425072222222222,12,2023-04-13 08:25:00,,0.0,0.0,3.430021526315709,0.06234371052631547,424.0370368578612,0.789208249999998,0.0,,0.0,,,
pp06,N,240.568,7200.0,1.0,0.9728111111111112,0.4123055555555556,0.2215722222222222,0.1360277777777778,0.0430611111111111,0.0103222222222222,0.0868166666666666,0.0167777777777777,0.0041666666666666,0.0167888888888888,0.2275888888888888,0.0679444444444444,0.0698,0.0747388888888888,0.3550055555555556,0.2616,0.2013833333333333,0.6035611111111111,0.4516666666666666,0.0155555555555555,78.53094444444446,7.293666666666666,547.4641666666666,0.0,0.0,0.3885527777777777,0.0297466666666666,0.0716466666666666,13,2023-04-13 08:26:00,0.079732,0.0,1.0,14.99114276900588,0.03072375146198828,1825.905256796969,0.2448627714285716,62.0,0.2970269354838715,62.0,0.07689614516129022,2.235957722510061,3.726596204183435
pp06,N,300.718,9000.0,1.0,0.9731666666666668,0.2437277777777778,0.1091222222222222,0.1518222222222222,0.0735444444444444,0.0,0.1417944444444444,0.0324444444444444,0.0001944444444444,0.0026888888888888,0.1884444444444444,0.0862777777777777,0.0328444444444444,0.1150611111111111,0.3116444444444444,0.2390222222222222,0.3695388888888889,0.43205,0.3033333333333333,0.0,72.13522222222223,8.326555555555554,551.815,0.0,0.0,0.3926827777777777,0.0219344444444444,0.0578605555555555,14,2023-04-13 08:27:00,,0.0,0.0,20.2670949480969,0.03086291695501744,2468.083499710661,0.17178766,165.0,0.1683082484848483,165.0,0.05210135151515159,0.3580378850301107,0.5967298083835179
pp06,N,360.869,10800.0,1.0,0.9738333333333336,0.4568111111111111,0.1975166666666666,0.1402611111111111,0.0505333333333333,0.0028833333333333,0.1742444444444444,0.0781444444444444,0.0018222222222222,0.0121111111111111,0.3245388888888889,0.1899611111111111,0.1151055555555555,0.1493388888888888,0.0895888888888888,0.4500222222222222,0.4647833333333332,0.4066722222222222,0.3272222222222222,0.0,69.11061111111111,6.305777777777777,553.0545555555556,0.0,0.0,0.4178933333333334,0.0264988888888888,0.0408772222222222,15,2023-04-13 08:28:00,0.11776275,0.0,4.0,5.567863922746794,0.02403087553648073,683.7091129305604,,96.0,0.2515337083333335,96.0,0.07435738541666659,0.6517290224631628,1.086215037438605
pp06,N,421.019,12600.0,1.0,0.9766111111111114,0.3141166666666667,0.2366277777777777,0.0667277777777777,0.0601611111111111,0.0,0.1931333333333333,0.00415,0.0,0.0025777777777777,0.1694555555555555,0.0787388888888888,0.17375,0.1054666666666666,0.2143388888888888,0.2083499999999999,0.5599,0.3402666666666666,0.23,0.0,79.08072222222222,10.67161111111111,549.9349444444445,0.0,0.0,0.4166538888888889,0.0453472222222222,0.0323544444444444,16,2023-04-13 08:29:00,,0.0,0.0,12.36944652542371,0.01980880508474543,1557.413673664286,0.239613619047619,130.0,0.2675527846153845,130.0,0.07194928461538465,0.4640418602870061,0.7734031004783435
pp06,N,481.17,14400.0,1.0,0.9774722222222224,0.2740444444444444,0.2367,0.0469666666666666,0.0154777777777777,0.00015,0.1662277777777777,0.0467444444444444,0.0,0.0375944444444444,0.2479888888888889,0.0564166666666666,0.2368055555555555,0.0927166666666666,0.1833555555555555,0.2531666666666666,0.2614055555555555,0.3281944444444444,0.2694444444444444,0.0,84.70127777777778,13.142,550.9833333333333,0.0,0.0,0.4199205555555555,0.0245311111111111,0.0332022222222222,17,2023-04-13 08:30:00,0.08968442857142857,2.0,5.0,6.263044279605214,0.02618004605263174,798.2358091640747,,110.0,0.282761890909091,110.0,0.08062361818181824,0.49288367358121,0.8214727893020168
pp06,N,541.32,16200.0,1.0,0.9788333333333336,0.1527388888888888,0.0873166666666666,0.1709666666666666,0.0312333333333333,0.0,0.1985111111111111,0.0370722222222222,0.0010444444444444,0.0150944444444444,0.2783833333333333,0.1331777777777777,0.3295222222222222,0.1016666666666666,0.0497944444444444,0.4054111111111111,0.4263777777777778,0.2621555555555555,0.2388888888888889,0.0,72.02422222222222,11.769055555555555,548.1741111111111,0.0,0.0,0.4165688888888889,0.0437827777777777,0.0368861111111111,18,2023-04-13 08:31:00,0.1251186666666667,2.0,7.0,3.651706109792308,0.03264467655786354,436.3640412616533,,101.0,0.2913937029702966,101.0,0.1065863960396039,0.6396822858564924,1.066137143094154
pp06,N,601.47,18000.0,1.0,0.9788888888888893,0.2585388888888889,0.0467333333333333,0.1092777777777777,0.0423277777777777,0.0089555555555555,0.18055,0.0350111111111111,3.3333333333333335e-05,0.0193333333333333,0.1243,0.0559444444444444,0.2069333333333333,0.04055,0.1097888888888889,0.5571111111111111,0.4682944444444444,0.2339388888888889,0.1305555555555555,0.0,82.03016666666666,8.711555555555556,548.0916666666667,0.0,0.0,0.3888083333333333,0.0283027777777777,0.03288,19,2023-04-13 08:32:00,0.383735,0.0,8.0,6.265117839319486,0.03237362948960293,767.6735519616603,0.2551194166666662,42.0,0.3421685000000003,42.0,0.02380952380952381,1.05555914697193,1.759265244953216
pp06,N,661.621,19800.0,1.0,0.9769722222222226,0.2113555555555555,0.0449888888888888,0.2776388888888889,0.0663166666666666,0.0,0.1513444444444444,0.0198722222222222,0.0,0.0015055555555555,0.1557722222222222,0.1156944444444444,0.25095,0.0420888888888888,0.0911444444444444,0.3658277777777778,0.3315055555555555,0.3017111111111111,0.24,0.0,81.344,7.074833333333333,555.9407777777778,0.0,0.0,0.3825744444444444,0.0713366666666666,0.0154283333333333,20,2023-04-13 08:33:00,0.5702665,0.0,2.0,9.068696070904645,0.02036552811735954,1131.750849595798,,141.0,0.239686475177305,141.0,0.06589875177304956,0.5437367655706744,0.9062279426177907
pp06,N,721.771,21600.0,1.0,0.9746111111111112,0.1756055555555555,0.0470166666666666,0.00625,0.0594111111111111,0.0003888888888888,0.1127888888888888,0.0286666666666666,0.0005333333333333,0.0134111111111111,0.2000222222222222,0.0619833333333333,0.2736611111111111,0.0302555555555555,0.09155,0.2810777777777777,0.223711111111111,0.233861111111111,0.1522222222222222,0.0,84.48094444444445,6.810222222222222,561.8026666666667,0.0,0.0,0.3663955555555555,0.0249411111111111,0.0190327777777777,21,2023-04-13 08:34:00,0.0986702857142857,0.0,7.0,12.71488652010374,0.02143982749675737,1522.944601260228,0.6021327499999991,112.0,0.3160616785714291,112.0,0.06749534821428581,0.5378723123243877,0.8964538538739795
pp06,N,781.921,23400.0,0.9988888888888888,0.9703722222222224,0.0719222222222222,0.0303888888888888,0.1268111111111111,0.0656,0.0040888888888888,0.0864111111111111,0.0672611111111111,0.0050666666666666,0.0192833333333333,0.1139444444444444,0.1589055555555555,0.5216166666666667,0.0617944444444444,0.2082111111111111,0.3423944444444444,0.1984111111111111,0.3344777777777777,0.1966666666666666,0.0,86.56355555555555,14.946444444444444,552.4246111111112,0.0011111111111111,0.0,0.3585388888888889,0.0530938888888888,0.0347461111111111,22,2023-04-13 08:35:00,,0.0,0.0,,,,,107.0,0.2120339906542056,107.0,0.06893027102803742,0.5607346730811573,0.9345577884685955
pp06,N,842.072,25200.0,1.0,0.9730555555555558,0.1435388888888888,0.0445111111111111,0.0997,0.0623611111111111,0.0103777777777777,0.1490777777777778,0.0831555555555555,0.0077722222222222,0.0241611111111111,0.2213944444444444,0.2009111111111111,0.2641666666666666,0.0453055555555555,0.1042333333333333,0.4595055555555556,0.4044666666666666,0.4089833333333333,0.27,0.0,85.26705555555554,15.082555555555556,554.6313888888889,0.0,0.0,0.3773733333333333,0.0472816666666666,0.0269994444444444,23,2023-04-13 08:36:00,0.11434525,0.0,4.0,9.682641528205139,0.02108934102564108,1191.192512895152,,79.0,0.2823740886075947,79.0,0.04409153164556948,0.7583833676350268,1.263972279391711
pp06,N,902.222,27000.0,1.0,0.9771111111111116,0.1136555555555555,0.0308166666666666,0.1636722222222222,0.0653444444444444,6.666666666666667e-05,0.1583555555555555,0.0415555555555555,0.0,0.0046944444444444,0.1627222222222222,0.1223944444444444,0.3351777777777778,0.0633555555555555,0.0864944444444444,0.3385333333333333,0.2787222222222222,0.3213944444444444,0.1661111111111111,0.0,84.04011111111112,14.632944444444444,552.6947777777779,0.0,0.0,0.3923983333333333,0.0643911111111111,0.0166516666666666,24,2023-04-13 08:37:00,,0.0,0.0,,,,,159.0,0.2599157358490565,159.0,0.05145004402515719,0.312165692167462,0.5202761536124367
pp06,N,962.373,28800.0,1.0,0.9676111111111112,0.0606333333333333,0.0398,0.0106277777777777,0.0543888888888888,0.0036222222222222,0.0773444444444444,0.0536166666666666,0.0,0.0115444444444444,0.1580388888888889,0.0532222222222222,0.3073111111111111,0.0915444444444444,0.2409555555555555,0.2055222222222222,0.2070777777777777,0.3888388888888889,0.2305555555555555,0.0,84.62788888888889,13.349388888888887,566.1296666666667,0.0,0.0,0.3414155555555556,0.0125372222222222,0.0143794444444444,25,2023-04-13 08:38:00,0.1046038333333333,0.0,6.0,8.442931553415058,0.02234288616462348,1014.694574326142,,129.0,0.310960581395349,129.0,0.06700258139534894,0.5453775335651959,0.9089625559419933
pp06,N,1022.523,30600.0,1.0,0.9744166666666668,0.0500777777777777,0.0785611111111111,0.0011055555555555,0.0363222222222222,0.0011555555555555,0.1014333333333333,0.1108555555555555,0.0008555555555555,0.0512444444444444,0.27165,0.0542722222222222,0.3376666666666666,0.1344833333333333,0.432011111111111,0.3226555555555555,0.2807555555555555,0.2317277777777777,0.1477777777777777,0.0,92.9868888888889,21.41894444444445,561.1983333333334,0.0,0.0,0.3242566666666667,0.0021888888888888,0.0233238888888888,26,2023-04-13 08:39:00,0.09597266666666666,1.0,2.0,10.51489934854763,0.0243769958506225,1256.03725579869,,60.0,0.282509699999999,60.0,0.05043236666666644,0.997761332988739,1.662935554981232
pp06,N,1082.673,32400.0,1.0,0.971977777777778,0.1913499999999999,0.0477888888888888,0.2268555555555555,0.1255888888888889,0.0026277777777777,0.13485,0.14125,0.0057388888888888,0.0064222222222222,0.1479111111111111,0.1797166666666666,0.3539166666666666,0.1020388888888888,0.1488111111111111,0.5783,0.4415666666666666,0.4018888888888888,0.3455555555555555,0.0394444444444444,87.79216666666666,14.613111111111111,558.2055555555555,0.0227777777777777,0.0,0.3211155555555556,0.0897461111111111,0.0207083333333333,27,2023-04-13 08:40:00,0.5606435714285715,1.0,6.0,4.808348468048433,0.0200593730569948,596.3447325575715,,69.0,0.3447521159420296,69.0,0.1406512173913045,0.8721886544987776,1.453647757497962
pp06,N,1142.824,34200.0,0.9955555555555556,0.9724166666666668,0.1410666666666666,0.2639555555555555,0.2065833333333333,0.0742722222222222,0.0011388888888888,0.2099055555555555,0.10815,0.0037222222222222,0.0502,0.3962611111111111,0.1467833333333333,0.2774944444444444,0.0784055555555555,0.1378388888888888,0.3165277777777778,0.33495,0.2521,0.1805555555555555,0.0,87.76366666666665,20.950333333333333,553.8596666666667,0.0044444444444444,0.0,0.3797072222222222,0.0490905555555555,0.0102844444444444,28,2023-04-13 08:41:00,0.09882706249999999,1.0,15.0,11.38840068413387,0.03020981659388646,1355.501758482,0.3145819000000003,100.0,0.2840916600000003,100.0,0.06594135999999992,0.5197687482833863,0.866281247138977
pp06,N,1202.974,36000.0,1.0,0.9734722222222224,0.1463444444444444,0.1476388888888888,0.0020055555555555,0.0452666666666666,0.0001944444444444,0.1424166666666666,0.11695,0.0093555555555555,0.0397055555555555,0.19965,0.0666555555555555,0.2055666666666666,0.0796277777777777,0.1206944444444444,0.4387777777777777,0.3868944444444444,0.4070000000000001,0.2616666666666666,0.0077777777777777,95.57944444444443,18.281111111111112,556.3454999999999,0.0,0.0,0.3572099999999999,0.0038261111111111,0.0456611111111111,29,2023-04-13 08:42:00,0.1272105,4.0,16.0,7.946368238017883,0.02067761819658816,985.5095006833398,0.8043595000000039,51.0,0.3980499411764694,51.0,0.1775747058823534,1.328765041687909,2.214608402813182
pp06,N,1263.124,37800.0,1.0,0.977805555555556,0.1089944444444444,0.0471888888888888,0.00085,0.0338222222222222,0.0057055555555555,0.1060777777777777,0.0471166666666666,3.3333333333333335e-05,0.04085,0.1993055555555555,0.0624777777777777,0.2416055555555555,0.1032055555555555,0.1101277777777777,0.4782277777777778,0.3516166666666666,0.3987999999999999,0.2655555555555555,0.0,90.83244444444443,14.463666666666668,557.8237777777778,0.0005555555555555,0.0,0.3507638888888889,0.0067733333333333,0.0429477777777777,30,2023-04-13 08:43:00,0.08908733333333332,2.0,7.0,7.073754354642316,0.02575565144596637,826.2058586214534,,100.0,0.2912831800000004,100.0,0.04280219999999986,0.4912013506889343,0.8186689178148906
pp06,N,1323.275,39600.0,1.0,0.9741944444444448,0.0687388888888888,0.0494111111111111,0.0010388888888888,0.0313388888888888,0.0,0.0845055555555555,0.0575388888888888,0.0011111111111111,0.0153777777777777,0.1720777777777777,0.0469222222222222,0.2528888888888889,0.14905,0.1624222222222222,0.2637888888888888,0.2827666666666666,0.3474833333333333,0.2077777777777777,0.0,93.60072222222222,15.894277777777775,560.8955555555556,0.0,0.0,0.3417877777777778,0.0024733333333333,0.0287183333333333,31,2023-04-13 08:44:00,0.09715499999999999,1.0,3.0,8.992963670129894,0.02552343636363653,1048.315754722884,0.5547777499999995,178.0,0.1825019213483143,178.0,0.0273675505617977,0.3760716794581895,0.6267861324303159
pp06,N,1383.425,41400.0,1.0,0.9685555555555556,0.1835611111111111,0.0880222222222222,0.0154222222222222,0.0311944444444444,0.0057,0.1447888888888888,0.0855833333333333,0.0005611111111111,0.0418222222222222,0.3940777777777778,0.1865111111111111,0.2561388888888889,0.0562277777777777,0.0117833333333333,0.0925222222222222,0.1389999999999999,0.4583166666666667,0.3394444444444444,0.0,80.86411111111111,11.885888888888887,559.7319444444445,0.0,0.0,0.3996705555555555,0.0128111111111111,0.0454111111111111,32,2023-04-13 08:45:00,0.112055,0.0,1.0,8.941769668711721,0.03765889570552106,1103.598889508946,0.6739806666666652,114.0,0.2634673684210531,114.0,0.07622723684210535,0.5493766048498321,0.9156276747497202
pp06,N,1443.576,43200.0,1.0,0.970027777777778,0.1032611111111111,0.0517722222222222,0.0065444444444444,0.0679666666666666,0.0,0.0628166666666666,0.0941111111111111,0.0,0.0046333333333333,0.18005,0.0604277777777777,0.2294222222222222,0.0820055555555555,0.1066888888888889,0.2706388888888889,0.2541333333333334,0.3823444444444445,0.1933333333333333,0.0,88.43383333333333,15.075833333333334,563.0941111111111,0.0,0.0,0.3503627777777778,0.0024594444444444,0.0398072222222222,33,2023-04-13 08:46:00,,0.0,0.0,2.878232945204866,0.03569716438356216,340.8130588099324,0.3901028571428579,132.0,0.2738208030303025,132.0,0.07417686363636367,0.40131169015711,0.6688528169285167
